time,lat,lon,alt
19.5000,30.418706,-86.470401,10083.22
19.6000,30.417963,-86.469769,10189.35
19.7000,30.417214,-86.469133,10296.17
19.8000,30.416460,-86.468492,10403.71
19.9000,30.415700,-86.467846,10511.98
20.0000,30.414936,-86.467196,10621.06
20.1000,30.414172,-86.466547,10730.38
20.2000,30.413415,-86.465904,10839.46
20.3000,30.412674,-86.465273,10948.45
20.4000,30.411963,-86.464667,11055.35
20.5000,30.411265,-86.464074,11155.65
20.6000,30.410621,-86.463525,11255.07
20.7000,30.410004,-86.462999,11350.46
20.8000,30.409389,-86.462475,11443.79
20.9000,30.408785,-86.461961,11536.72
21.0000,30.408206,-86.461467,11627.46
21.1000,30.407651,-86.460993,11714.11
21.2000,30.407117,-86.460538,11797.79
21.3000,30.406597,-86.460093,11880.85
21.4000,30.406077,-86.459650,11962.38
21.5000,30.405567,-86.459215,12040.89
21.6000,30.405065,-86.458787,12116.59
21.7000,30.404564,-86.458361,12191.09
21.8000,30.404073,-86.457943,12265.25
21.9000,30.403599,-86.457540,12338.25
22.1500,30.402452,-86.456561,12517.93
22.6500,30.400216,-86.454657,12854.70
23.1500,30.398088,-86.452844,13175.39
23.6500,30.396047,-86.451105,13483.70
24.1500,30.394050,-86.449406,13779.57
24.6500,30.392094,-86.447741,14066.08
25.1500,30.390187,-86.446118,14346.23
25.6500,30.388304,-86.444516,14619.00
26.1500,30.386439,-86.442930,14885.07
26.6500,30.384607,-86.441372,15146.88
27.1500,30.382786,-86.439824,15402.89
27.6500,30.380981,-86.438290,15654.12
28.1500,30.379195,-86.436772,15901.72
28.6500,30.377416,-86.435261,16144.13
29.1500,30.375653,-86.433764,16383.33
29.6500,30.373898,-86.432273,16618.28
30.1500,30.372153,-86.430792,16849.54
30.6500,30.370418,-86.429319,17077.50
31.1500,30.368689,-86.427852,17301.47
31.6500,30.366971,-86.426394,17522.62
32.1500,30.365255,-86.424939,17739.80
32.6500,30.363551,-86.423494,17954.34
33.1500,30.361849,-86.422051,18165.06
33.6500,30.360156,-86.420616,18373.20
34.1500,30.358466,-86.419183,18577.70
34.6500,30.356784,-86.417758,18779.64
35.1500,30.355104,-86.416335,18978.08
35.6500,30.353431,-86.414918,19173.97
36.1500,30.351761,-86.413504,19366.55
36.6500,30.350096,-86.412095,19556.46
37.1500,30.348435,-86.410689,19743.35
37.6500,30.346777,-86.409286,19927.37
38.1500,30.345124,-86.407888,20108.69
38.6500,30.343473,-86.406491,20286.93
39.1500,30.341828,-86.405099,20462.70
39.6500,30.340184,-86.403709,20635.39
40.1500,30.338544,-86.402323,20805.52
40.6500,30.336907,-86.400940,20972.88
41.1500,30.335272,-86.399558,21137.38
41.6500,30.333641,-86.398180,21299.42
